"State_Name","District","Sub-District","Financial_Year","Month","Indicator_Code","Indicator_Name","Code_And_Section","Reported_Value_for_Public_Facility","Reported_Value_for_Private_Facility","Reported_Value_for_Rural","Reported_Value_for_Urban"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.1","Total number of pregnant women registered for ANC","M1 [Ante Natal Care (ANC)]","81","NA","81","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.1.1","Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)","M1 [Ante Natal Care (ANC)]","81","NA","81","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.2.1","Number of PW given TT1/ Td1","M1 [Ante Natal Care (ANC)]","81","NA","81","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.2.2","Number of PW given TT2 / Td2","M1 [Ante Natal Care (ANC)]","78","NA","78","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.2.3","Number of PW given TT Booster/ Td Booster","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.2.4","Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets","M1 [Ante Natal Care (ANC)]","81","NA","81","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.2.5","Number of PW provided full Course 360 Calcium tablets","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.2.6","Number of PW given one Albendazole tablet after 1st trimester","M1 [Ante Natal Care (ANC)]","81","NA","81","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.2.7","Number of PW received 4 or more ANC check ups","M1 [Ante Natal Care (ANC)]","84","NA","84","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.2.8","Number of PW given ANC Corticosteroids in Pre Term Labour","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.3.1","New cases of PW with hypertension detected","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.3.1.a","Out of the new cases of PW with hypertension detected, cases managed at institution","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.3.2","Number of Eclampsia cases managed during delivery","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.4.1","Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs","M1 [Ante Natal Care (ANC)]","92","NA","92","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.4.2","Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9)","M1 [Ante Natal Care (ANC)]","43","NA","43","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.4.3","Number of PW having Hb level<7 (out of total tested cases)","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.4.4","Number of PW having severe anaemia (Hb < 7) treated","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.5.1","Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test)","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.5.2","Number of PW tested positive for GDM","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.5.3","Number of PW given insulin out of total tested positive for GDM","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.6.1.a","Number of PW tested using POC test for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.6.1.b","Out of above,number of PW found sero positive for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.6.2.a","Number of pregnant women tested for Syphilis","M1 [Ante Natal Care (ANC)]","1","NA","1","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.6.2.b","Number of pregnant women tested found sero positive for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.6.2.c","Number of syphilis positive pregnanat women treated for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.6.2.d","Number of babies daignosed with Congenital Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","1.6.2.e","Number of babies treated for Congenital Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","2.1.1.a","Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife)","M2 [Deliveries]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","2.1.1.b","Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.)","M2 [Deliveries]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","2.1.2","Number of PW given Tablet Misoprostol during home delivery","M2 [Deliveries]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","2.1.3","Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery","M2 [Deliveries]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","2.2","Number of Institutional Deliveries conducted (Including C-Sections)","M2 [Deliveries]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","2.2.1","Out of total institutional deliveries number of women discharged within 48 hours of delivery","M2 [Deliveries]","NA","NA","NA","NA"
"Andhra Pradesh","West Godavari","Achanta","2021-2022","February ","2.2.2","Number of newborns received 6 HBNC  visits after Institutional Delivery","M2 [Deliveries]","74","NA","74","NA"
